Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1m14_370_uff_E=76.96,-5.5,0.0,0.0
1m14_370_uff_E=76.96,-5.4,21.904,19.983
1m14_370_uff_E=76.96,-5.3,2.405,0.293
1m14_370_uff_E=76.96,-5.3,21.936,20.135
1m14_370_uff_E=76.96,-5.2,14.27,12.963
1m14_370_uff_E=76.96,-5.1,14.372,12.018
1m14_370_uff_E=76.96,-5.1,2.893,2.508
1m14_370_uff_E=76.96,-5.0,23.52,22.022
1m14_370_uff_E=76.96,-5.0,2.851,2.055
1m14_2537_uff_E=401.22,-5.2,0.0,0.0
1m14_2537_uff_E=401.22,-5.2,2.138,1.226
1m14_2537_uff_E=401.22,-5.1,3.085,1.374
1m14_2537_uff_E=401.22,-5.0,2.94,1.306
1m14_2537_uff_E=401.22,-5.0,3.02,1.477
1m14_2537_uff_E=401.22,-5.0,2.663,1.174
1m14_2537_uff_E=401.22,-4.8,2.57,1.613
1m14_2537_uff_E=401.22,-4.8,3.184,1.881
1m14_2537_uff_E=401.22,-4.8,3.087,1.715
1m14_2758_uff_E=345.81,-5.1,0.0,0.0
1m14_2758_uff_E=345.81,-5.0,3.129,1.356
1m14_2758_uff_E=345.81,-4.9,2.969,1.281
1m14_2758_uff_E=345.81,-4.8,3.29,1.43
1m14_2758_uff_E=345.81,-4.7,2.954,1.527
1m14_2758_uff_E=345.81,-4.6,2.459,1.588
1m14_2758_uff_E=345.81,-4.6,2.572,1.689
1m14_2758_uff_E=345.81,-4.6,1.858,1.632
1m14_2758_uff_E=345.81,-4.4,3.214,1.414
1m14_3779_uff_E=168.60,-5.6,0.0,0.0
1m14_3779_uff_E=168.60,-5.5,5.601,3.807
1m14_3779_uff_E=168.60,-5.3,5.418,3.887
1m14_3779_uff_E=168.60,-5.2,5.522,3.487
1m14_3779_uff_E=168.60,-5.2,5.603,3.87
1m14_3779_uff_E=168.60,-5.2,4.358,2.45
1m14_3779_uff_E=168.60,-5.1,16.044,14.805
1m14_3779_uff_E=168.60,-5.1,6.448,4.697
1m14_3779_uff_E=168.60,-5.1,16.285,13.902
1m14_6448_uff_E=533.59,-5.8,0.0,0.0
1m14_6448_uff_E=533.59,-5.6,4.683,2.989
1m14_6448_uff_E=533.59,-5.6,2.326,1.439
1m14_6448_uff_E=533.59,-5.5,4.771,2.807
1m14_6448_uff_E=533.59,-5.4,2.254,1.376
1m14_6448_uff_E=533.59,-5.3,4.184,2.64
1m14_6448_uff_E=533.59,-5.3,4.234,1.936
1m14_6448_uff_E=533.59,-5.3,4.752,2.953
1m14_6448_uff_E=533.59,-5.1,4.908,3.277
1m14_6549_uff_E=108.84,-4.7,0.0,0.0
1m14_6549_uff_E=108.84,-4.6,4.913,2.639
1m14_6549_uff_E=108.84,-4.5,4.616,2.459
1m14_6549_uff_E=108.84,-4.4,5.292,2.121
1m14_6549_uff_E=108.84,-4.4,2.16,1.592
1m14_6549_uff_E=108.84,-4.3,4.206,2.869
